epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,817.207,1.34272,0.94422,0.90897,0.44388,0.33098,0.33148,0.19235,1.34163,0.96847,0.90814,0.00307,0.00307,0.00307
72,906.18,1.34162,0.94038,0.90808,0.43982,0.33397,0.33288,0.19241,1.34319,0.96952,0.90958,0.002971,0.002971,0.002971
73,994.699,1.33844,0.9365,0.90815,0.44138,0.33357,0.33233,0.193,1.3396,0.96765,0.90851,0.002872,0.002872,0.002872
74,1082.75,1.33782,0.93592,0.90728,0.45302,0.32826,0.33531,0.19432,1.33936,0.96309,0.90789,0.002773,0.002773,0.002773
75,1171.25,1.33721,0.92941,0.90655,0.45655,0.32761,0.33559,0.19432,1.34068,0.9643,0.90869,0.002674,0.002674,0.002674
76,1259.08,1.33363,0.92889,0.90629,0.45143,0.32933,0.33508,0.19432,1.33902,0.96209,0.90783,0.002575,0.002575,0.002575
77,1346.77,1.33153,0.92628,0.90587,0.44557,0.33067,0.3364,0.19439,1.33815,0.96185,0.90756,0.002476,0.002476,0.002476
78,1435.39,1.33072,0.92074,0.90376,0.45156,0.329,0.33478,0.19382,1.33895,0.96268,0.90748,0.002377,0.002377,0.002377
79,1523.92,1.334,0.92784,0.90416,0.44446,0.33258,0.33363,0.19375,1.33726,0.96471,0.90738,0.002278,0.002278,0.002278
80,1612.91,1.3221,0.91648,0.90472,0.44515,0.33224,0.33608,0.19523,1.33834,0.96188,0.90749,0.002179,0.002179,0.002179
81,1702.11,1.33196,0.91923,0.90558,0.45085,0.32861,0.33537,0.19498,1.33587,0.96052,0.90701,0.00208,0.00208,0.00208
82,1791.12,1.32886,0.91627,0.90367,0.45416,0.33007,0.33602,0.19489,1.33429,0.95917,0.90645,0.001981,0.001981,0.001981
83,1880.03,1.32286,0.91384,0.90453,0.45154,0.3344,0.33621,0.19507,1.33465,0.95808,0.90677,0.001882,0.001882,0.001882
84,1968.53,1.32448,0.91229,0.90297,0.46262,0.33082,0.33652,0.19515,1.3341,0.9583,0.90631,0.001783,0.001783,0.001783
85,2058.64,1.31397,0.90372,0.90258,0.44199,0.33814,0.33737,0.19612,1.33336,0.95899,0.9063,0.001684,0.001684,0.001684
86,2148.99,1.32037,0.90782,0.9023,0.43778,0.33893,0.33655,0.19575,1.3336,0.96094,0.90653,0.001585,0.001585,0.001585
87,2237.75,1.324,0.9051,0.90103,0.43973,0.33433,0.33522,0.19544,1.33387,0.96216,0.9064,0.001486,0.001486,0.001486
88,2326.4,1.31037,0.89873,0.8999,0.43784,0.33469,0.33515,0.19576,1.33351,0.96241,0.90609,0.001387,0.001387,0.001387
89,2414.44,1.31172,0.89994,0.90077,0.4393,0.3329,0.33508,0.19585,1.33293,0.96264,0.90592,0.001288,0.001288,0.001288
90,2503.05,1.309,0.90121,0.90036,0.44176,0.3313,0.33601,0.19594,1.3317,0.96064,0.90574,0.001189,0.001189,0.001189
91,2768.25,1.28414,0.88429,0.90305,0.43473,0.33055,0.33339,0.19399,1.33679,0.9644,0.90727,0.00109,0.00109,0.00109
92,2850.86,1.27808,0.86872,0.89969,0.44282,0.32665,0.33218,0.19308,1.33653,0.96541,0.90685,0.000991,0.000991,0.000991
93,2932.85,1.27657,0.86603,0.89824,0.43385,0.33083,0.33196,0.19285,1.33411,0.96528,0.90622,0.000892,0.000892,0.000892
94,3014.6,1.27548,0.86179,0.8984,0.43639,0.32881,0.33091,0.19239,1.33526,0.96444,0.90662,0.000793,0.000793,0.000793
95,3096.86,1.26833,0.85741,0.89701,0.43768,0.32626,0.33069,0.19269,1.33567,0.96436,0.90633,0.000694,0.000694,0.000694
